"EMPLOYEE_NO","SICK_LEAVE","VACATION_LEAVE","PATERNAL_LEAVE","BEREAVEMENT_LEAVE"
"1","3","5","3","3"
"2","5","5","3","3"
"3","5","5","3","3"
"4","5","5","3","3"
"5","5","5","3","3"
"6","5","5","3","3"
"7","5","5","3","3"
"8","5","5","3","3"
"9","5","5","3","3"
"10","5","5","3","3"
"11","5","5","3","3"
"12","5","5","3","3"
"13","5","5","3","3"
"14","5","5","3","3"
"15","5","5","3","3"
"16","5","5","3","3"
"17","5","5","3","3"
"18","5","5","3","3"
"19","5","5","3","3"
"20","5","5","3","3"
"21","5","5","3","3"
"22","5","5","3","3"
"23","5","5","3","3"
"24","5","5","3","3"
"25","5","5","3","3"
"26","5","5","3","3"
"27","5","5","3","3"
"28","5","5","3","3"
"29","5","5","3","3"
"30","5","5","3","3"
"31","5","5","3","3"
"32","5","5","3","3"
"33","5","5","3","3"
"34","5","5","3","3"
"35","5","5","3","3"
